#+ if unmarked

tvangssak	bággoássje	bággoášši	0	0	0	0
forlikssak	såbadimássje	bággoášši	0	0	0	0

samarbeidsområde	aktisasjbarggoguovllo	ovttasbargoguovlu	3	0	0	0
samarbeidsområde	aktisasjbarggoguovllo	ovttasbargoguovlu	3	0	0	0

språkoverføring	giellajoarkedibme	giellafievrrideapmi/giellasirdin	3	1	0	0

statskog	stáhttamiehttse	stáhtavuovdi	50	0	2	1

?kollega	kollega	kollega	15	1	3	0

sameradio	sámeradio	sámirádio	13	0	8	0

generasjonsperspektiv	buolvasbuolvvajperspektijvva	buolvaperspektiiva	0	0	0	0

fritidsarena	asstoájggeariedná	astoáiggebáiki	0	0	0	0

bruksordning	adnoårnik	doaibmaortnet	2	0	1	0 #i think maybe vuohke or doajmma instead of årnik - for all årnik below as well

autorisasjonsordning	autorisasjåvnnåårnik	autorisašuvdnaortnet	1	0	0	0

fritidsordning	asstoájggeårnik	astoáiggeortnet	1	0	2	0

dagsorden	biejvveårnik	beaiveortnet	35	0	0	0

bruksordning	adnoårnik	geavahanortnet	2	0	0	0

informasjonsordning	diehtojuohkemårnik	diehtojuohkinortnet	0	0	0	0

samarbeidsordning	aktisasjbarggoårnik	ovttasbargoortnet	1	0	0	0

kompensasjonsordning	kompensasjonårnik	buvttadusortnet	3	0	0	0

fjellov	várreláhka	meahcceláhka	6	0	1	0

Finnmarksloven	Finnmárkoláhka	Finnmárkoláhka	158	9	94	0

oppdrettslaks	guollebiebmadimluossa	biebmoluossa	7	0	7	0

kollega	barggoguojmme	kollega	15	1	3	0
